,mean_value,mean_volumn,profit
sh600052,7226624002.42236,39098242.838509314,-0.01803278688524581
sh600053,4505887431.290322,5539730.161290322,0.4798206278026905
sh600054,7721334752.941176,5751492.6,0.3843710292249046
sh600055,7432160124.203821,5290284.681528662,0.628775398132894
sh600056,18685509379.875,33478079.51875,-0.1451327433628318
sh600057,14099602316.280487,22136783.475609757,0.09118236472945893
sh600058,25429847963.4,29377002.413333334,1.0255157437567861
sh600059,9379097221.428572,29325913.2,-0.02056277056277051
sh600060,28270439793.641617,46505983.15606936,0.16942148760330586
sh600061,74305514629.79167,20452226.1875,-0.44396211523283347
sh600062,14714310286.933332,15369831.186666667,-0.01001908396946569
sh600063,10977663093.058823,76858815.78823529,0.09012875536480684
sh600064,14204687165.942858,22519814.217142858,-0.09656301145662846
sh600066,43713853025.71429,23457590.74857143,-0.21425593997498946
sh600067,12775737763.699423,65629862.34682081,-0.13180169286577992
sh600068,46942707527.25714,181870761.9942857,-0.18400876232201538
sh600069,5075714070.747127,27499212.83908046,-0.18541666666666662
sh600070,3921267694.8850574,15190525.626436781,-0.02389937106918244
sh600071,4752960850.344828,4798177.517241379,0.1809447558046437
sh600072,9860739179.52381,17207777.25170068,1.272727272727273
sh600073,11716618997.59124,33455678.416058395,0.4278187565858799
sh600074,25481189681.38889,49801799.5462963,2.625649913344888
sh600075,3950190972.8,13577574.45,1.4096385542168675
sh600076,3837658228.571429,21150419.60714286,0.3517241379310345
sh600077,10795948769.82558,27920941.872093022,-0.02249134948096884
sh600078,5920485992.101911,32350934.94267516,-0.11285714285714286
sh600079,21312830391.754387,22742528.65497076,-0.43738031405591726
sh600080,3790775283.3727813,15604738.686390532,-0.14345114345114335
sh600081,5984751387.283237,10034150.890173411,0.3042836041358937
sh600082,4986560269.942857,31596845.4,-0.24639769452449567
sh600083,2454916666.6666665,7926175.0,0.10791366906474809
sh600084,8564129015.639535,23486972.93023256,-0.06115702479338845
sh600085,39177983280.62857,21058366.697142858,0.0482142857142858
sh600086,16076867038.434782,13353014.017391304,0.25347636074692087
sh600088,9013001053.028572,8326715.542857143,0.07808988764044947
sh600089,46902258252.16374,136109396.7602339,-0.11015625000000001
sh600090,6262106517.864078,20213258.78640777,0.16890380313199105
sh600091,3087188781.9875774,8334862.639751553,0.19490254872563717
sh600093,8108242060.581395,17519346.912790697,0.3385474860335197
sh600094,28298618596.734695,26964555.30612245,0.06982543640897762
sh600095,3823457862.485207,32251766.70414201,0.6383647798742137
sh600096,15851507851.828571,23711628.525714286,-0.1684782608695652
sh600097,3422222298.8235292,4713655.029411765,1.134831460674157
sh600098,30004256382.83237,43200919.7283237,0.13355780022446684
sh600099,2175297200.0,5677230.015151516,0.6304878048780488
sh600100,52359904648.62857,122420797.66857143,0.29069767441860467
sh600101,3802944031.714286,17202052.68,0.3306205493387589
sh600103,7002742961.180555,62013719.847222224,0.2754342431761785
sh600104,254879307366.8,75814699.54857142,-0.266723116003387
sh600105,6800330654.183006,19499819.039215688,0.36215666327568674
sh600106,8074667871.90184,40405319.41104294,0.7804054054054053
sh600107,4929241333.333333,24001465.24,0.7008443908323282
sh600108,18907332327.085712,140843426.93714285,-0.2984293193717278
sh600109,61596011375.51515,142461937.0848485,-0.374293059125964
sh600110,9734504256.607143,65874884.866071425,1.141965678627145
sh600111,65987016757.37143,102271612.46285714,-0.5307341060765718
sh600112,9658014182.202381,43467951.065476194,0.10427807486631015
sh600113,4176190462.5,18928139.9625,-0.3390625
sh600114,6183652127.616279,10402178.668604651,-0.05037037037037035
sh600115,92595993045.30864,201875537.87037036,0.36936936936936937
sh600116,5500958824.914286,16873896.38857143,-0.09612817089452612
sh600117,5143033529.931034,23760156.87586207,-0.11153119092627596
sh600118,52839465272.171425,47721146.50285714,0.23970944309927372
sh600119,6689400534.883721,23065952.56976744,0.07206588881262861
sh600120,14727478258.171429,13870056.165714286,0.0708955223880596
sh600121,7280270032.261905,21975650.214285713,-0.24880382775119614
