,profit,mean_volumn,mean_value
sh600466,-1.066239519556307,17.07329958982464,23.72560701646397
sh600469,-3.3306505083084676,16.32760784060128,22.610882648178023
sh600476,-1.227696381911174,15.870202070111299,22.24009726129377
sh600477,-0.5311169698142615,17.139856028979796,22.611740096040453
sh600479,-4.353855757707187,16.28932853446218,22.49834441899259
sh600482,0.8303085169132898,16.89563707721344,23.050817224588673
sh600483,-1.0699217962051804,16.32564204209647,23.6124781951196
sh600487,-1.127811443360372,16.49431538455782,23.212648776148477
sh600488,-3.992345394266976,17.1943913228237,22.747992179808417
sh600491,-1.0222809704747053,17.566533366219957,23.09416927382977
sh600493,-0.7956159812432863,16.620503595139233,21.98662295347148
sh600498,-0.8314608967587389,17.075627272387187,23.954887166565552
sh600499,-0.5389965007326868,16.819940989735727,23.487518838204455
sh600500,-4.289545781879714,17.83602405850992,24.041664608969825
sh600501,-1.7924745210997806,16.52203225778466,22.829391676309747
sh600502,-3.332204510175204,17.22388835406659,22.750112912819045
sh600503,-0.606420744447012,18.50983528202982,23.87611882850533
sh600506,-0.9367996985957817,15.571859886937371,21.63580181221626
sh600510,-2.2615090011531507,16.54673471106145,23.028120201001855
sh600512,-3.110000367102928,17.445762774161782,22.42571171222821
sh600513,-2.851304289705256,15.90207325676787,22.07755262036885
sh600515,-0.01841672678623138,16.839576516639525,22.26769110747218
sh600520,-4.8889811389523175,16.04764683421557,21.824801184468626
sh600521,-0.5234220114516765,16.50708128977285,23.547781279204823
sh600522,-3.0381529894379455,17.11487286740709,23.65957881197689
sh600523,-3.3850178127858843,16.20257897520898,22.583401010097134
sh600525,-0.11991535227150711,16.76982626476972,23.537530484468338
sh600527,-2.567083829990171,17.537342821525993,22.451064027345254
sh600529,-2.2684141084728697,15.987083525069202,22.117425033736048
sh600530,-0.23528013050056626,15.92679037044201,22.644748792449764
sh600532,-0.6279509810034032,16.075373162519636,22.54341528080208
sh600533,-3.2327787300371957,17.194137783986484,22.569946869581056
sh600538,-2.0476928433652546,16.77342751726248,22.34578328877356
sh600539,-1.4912002279860705,15.898424969571916,21.566291530423012
sh600540,-3.7599753757976693,16.313268073180108,22.10089789958685
sh600545,-1.9912714160089875,17.910660951131675,23.021536085499342
sh600555,0.19251829481446955,17.996967554106618,22.868397574163634
sh600559,-3.418126443762603,14.92490992867889,22.81552262573022
sh600560,-2.1840143455994117,16.151519007250144,22.05431005339095
sh600565,0.018904154639152654,17.682062690909156,23.805202722665296
sh600566,-2.0288675608926363,15.732206498596447,23.669301603919042
sh600567,-1.619556042599685,19.030645791453416,23.49667149891517
sh600568,-0.2736687965088582,15.988014212361941,22.82540308759065
sh600571,-0.14460680131555215,16.197314960069995,23.398178632576865
sh600573,-1.8195236068308545,15.796002440462052,21.838546059642045
sh600575,-1.7069629325679776,17.86628891236586,23.40680132629962
sh600576,-0.36093084749661236,16.385059715373085,22.681857776947783
sh600580,-4.580318469832333,16.971012064684913,23.49289238468891
sh600581,-1.92724972633791,17.666364451225157,22.56598403684944
sh600584,-1.633289128256281,17.56865391525604,23.612888795243936
sh600586,-3.2556897979909216,17.8194122691715,22.794248278279113
sh600588,-3.5279490873012964,17.706748360165175,24.730772774397284
sh600589,-2.558088267081591,16.970157879322237,22.187004645842375
sh600590,-0.6716409753389814,16.81207319637142,22.790022215860365
sh600593,-0.3612885622722451,15.02341507413439,21.610747912436075
sh600598,-1.3421350023189713,17.28015639326994,24.047812795696316
sh600599,-1.4495691611658854,16.19255652771064,22.317803804273527
sh600601,-1.081910439050178,18.808396864401058,23.63421704693001
sh600602,-1.6949096432381368,17.246727040445073,22.851186739156752
sh600604,-0.4206236685390062,15.960082461234563,22.837227961002277
sh600605,-1.8331904153554772,15.441577590002439,21.67051063185684
